day,cumulative_actual_realized,cumulative_credibility_estimate
0,0,309255265.94
7,0,309255265.94
14,0,309255265.94
21,80410.39,327941181.77
28,384825.25,371560492.67
35,1352340.8,416223500.94
42,3551787.8,438883499.4
49,5609945.64,442378887.69
56,10034248.87,454212806.66
63,13892806.93,461871614.14
70,18566749.86,474807084.08
77,23761664.73,483494702.91
84,30805386.99,490843712.93
91,38280990.87,495861114.01
98,45325763.58,497178258.15
105,54851919.39,501293760.1
112,62528004.02,502338838.57
119,71418501.55,503291285.0
126,80394143.27,502595909.94
133,90077783.28,501623248.96
140,97994709.36,499935212.96
147,108644473.54,499191478.58
154,119368111.2,497328462.5
161,129263424.64,495651604.11
168,140355498.39,494515507.48
175,151716830.43,491898482.33
182,162308709.31,490893231.24
189,172386057.83,489355854.8
196,182411924.95,487211699.67
203,195101822.16,485621650.86
210,206066436.03,483972501.52
217,217564347.34,482546892.92
224,228936498.04,480893679.57
231,238564598.48,478951567.47
238,249314865.32,476969419.71
245,259510443.25,475162154.65
252,268896911.71,473358959.58
259,278489331.61,472098065.9
266,288223666.53,469831807.32
273,297169483.85,467962862.94
280,305857993.32,466575121.74
287,313944397.87,464833914.22
294,321340984.4,463341347.37
301,329285347.89,461794691.57
308,336590201.1,460391359.62
315,341998412.68,459169421.42
322,347957650.73,458051697.06
329,354524592.8,457051673.5
336,360662963.15,455903882.41
343,370637845.09,454415682.64
350,377958198.96,453735954.24
357,383319229.05,452817587.36
364,386992501.39,452107512.76
371,393273232.76,451518481.18
378,396728863.59,450840562.13
385,399956400.1,450307113.17
392,402766235.31,449643909.25
399,408767071.19,449668387.56
406,412909880.55,449049160.48
413,414894203.47,448642912.87
420,416421971.34,448333435.5
427,421781160.28,447930577.47
434,423430864.07,447603196.61
441,427018230.22,447006952.0
448,428123730.71,446853090.79
455,429687081.77,446737311.05
462,430877379.27,446635827.85
469,431910143.49,446463984.02
476,432758755.28,446391184.12
483,433670545.02,446340199.67
490,434743839.93,446249515.42
497,435313833.02,446153885.04
504,436076805.02,446136471.32
511,436695983.14,446063829.1
518,437153032.81,446035593.49
525,437562672.6,445987565.5
532,438143088.43,445968275.78
539,438630556.45,445947221.58
546,438822750.49,445907075.63
553,439181439.28,445918763.94
560,439370280.73,445887553.21
567,439852366.67,445882740.93
574,439994389.14,445870966.1
581,440077624.07,445849661.52
588,441611724.15,445745603.19
595,441813406.19,445748984.88
602,441864420.91,445732210.72
609,442056297.32,445726905.69
616,442056297.32,445717184.46
623,442177195.32,445721208.15
630,442177195.32,445713567.07
637,442177195.32,445707453.4
644,442286249.99,445712317.67
651,442328656.78,445709543.48
658,442328656.78,445704991.51
665,442328656.78,445701363.52
672,442328656.78,445698475.81
679,442460099.94,445717886.58
686,442460099.94,445714597.26
693,442460099.94,445711982.95
700,442573635.63,445714944.17
707,442573635.63,445712760.26
714,442573635.63,445711025.77
721,445732402.11,445776861.78
727,445775901.95,445775901.95
