property_id,day,credibility_estimate_total,Z_avg
GNAF-GANSW720896350,0,29647.06,0.0
GNAF-GANSW717097481,0,49028.03,0.0
GNAF-GANSW717097483,0,68051.05,0.0
GNAF-GANSW705951040,0,41788.85,0.0
GNAF-GANSW719387485,0,35847.17,0.0
GNAF-GANSW705934317,0,39559.07,0.0
GNAF-GANSW705920843,0,46021.81,0.0
GNAF-GANSW705968470,0,36796.6,0.0
GNAF-GANSW705921140,0,48763.24,0.0
GNAF-GANSW717785002,0,29913.66,0.0
GNAF-GANSW718275825,0,38840.05,0.0
GNAF-GANSW718275826,0,32500.68,0.0
GNAF-GANSW718275822,0,35205.34,0.0
GNAF-GANSW718275823,0,39665.72,0.0
GNAF-GANSW718275824,0,33443.56,0.0
GNAF-GANSW717280861,0,32320.48,0.0
GNAF-GANSW718275830,0,33199.38,0.0
GNAF-GANSW718275827,0,37130.89,0.0
GNAF-GANSW705228794,0,35486.18,0.0
GNAF-GANSW717280915,0,34717.91,0.0
GNAF-GANSW717280852,0,27372.77,0.0
GNAF-GANSW717292829,0,31298.08,0.0
GNAF-GANSW717280920,0,38838.68,0.0
GNAF-GANSW717229098,0,38929.29,0.0
GNAF-GANSW718275833,0,37104.03,0.0
GNAF-GANSW719190135,0,39158.56,0.0
GNAF-GANSW705920796,0,48978.46,0.0
GNAF-GANSW719190131,0,28591.06,0.0
GNAF-GANSW719190077,0,55612.62,0.0
GNAF-GANSW718037948,0,35571.38,0.0
GNAF-GANSW719462636,0,120037.29,0.0
GNAF-GANSW705219304,0,20428.65,0.0
GNAF-GANSW705916980,0,41649.5,0.0
GNAF-GANSW716499181,0,32306.33,0.0
GNAF-GANSW719188878,0,57226.3,0.0
GNAF-GANSW718054578,0,40120.19,0.0
GNAF-GANSW708009360,0,35271.01,0.0
GNAF-GANSW704642629,0,38295.12,0.0
GNAF-GANSW708000740,0,61575.35,0.0
GNAF-GANSW718470424,0,31531.21,0.0
GNAF-GANSW719392584,0,21646.62,0.0
GNAF-GANSW719392585,0,18589.64,0.0
GNAF-GANSW716487434,0,25762.1,0.0
GNAF-GANSW717575860,0,56920.52,0.0
GNAF-GANSW705221958,0,55000.05,0.0
GNAF-GANSW716487426,0,45060.86,0.0
GNAF-GANSW716487428,0,29799.24,0.0
GNAF-GANSW716487430,0,48947.41,0.0
GNAF-GANSW716487431,0,34648.27,0.0
GNAF-GANSW716487432,0,54833.33,0.0
GNAF-GANSW716487433,0,43829.98,0.0
GNAF-GANSW717575852,0,28274.42,0.0
GNAF-GANSW717575854,0,71584.83,0.0
GNAF-GANSW719471550,0,39252.25,0.0
GNAF-GANSW707989969,0,28512.58,0.0
GNAF-GANSW712262159,0,23730.82,0.0
GNAF-GANSW716735284,0,157599.97,0.0
GNAF-GANSW705215937,0,45805.72,0.0
GNAF-GANSW716729515,0,50985.09,0.0
GNAF-GANSW705247354,0,67876.77,0.0
GNAF-GANSW715366983,0,30014.89,0.0
GNAF-GANSW712262160,0,19632.07,0.0
GNAF-GANSW712262155,0,22769.32,0.0
GNAF-GANSW717737362,0,25398.16,0.0
GNAF-GANSW708379560,0,43443.16,0.0
GNAF-GANSW716495377,0,40183.48,0.0
GNAF-GANSW717113019,0,39292.99,0.0
GNAF-GANSW706448711,0,35901.26,0.0
GNAF-GANSW708000557,0,31572.16,0.0
GNAF-GANSW717678759,0,69424.24,0.0
GNAF-GANSW705940729,0,36626.44,0.0
GNAF-GANSW716495372,0,42595.47,0.0
GNAF-GANSW717974700,0,39564.57,0.0
GNAF-GANSW716703517,0,38811.2,0.0
GNAF-GANSW718050778,0,35346.56,0.0
GNAF-GANSW716703530,0,32866.59,0.0
GNAF-GANSW716703521,0,40448.4,0.0
GNAF-GANSW705221986,0,36454.69,0.0
GNAF-GANSW705233625,0,39258.7,0.0
GNAF-GANSW705216008,0,55248.95,0.0
GNAF-GANSW705215971,0,125692.6,0.0
GNAF-GANSW705219380,0,22695.91,0.0
GNAF-GANSW705230972,0,33512.95,0.0
GNAF-GANSW705247332,0,71406.76,0.0
GNAF-GANSW704661361,0,20830.89,0.0
GNAF-GANSW705226146,0,38394.5,0.0
GNAF-GANSW705229519,0,60843.61,0.0
GNAF-GANSW705224556,0,34938.49,0.0
GNAF-GANSW705215967,0,37217.0,0.0
GNAF-GANSW705236293,0,19780.31,0.0
GNAF-GANSW705219356,0,46452.88,0.0
GNAF-GANSW705230330,0,30879.18,0.0
GNAF-GANSW705236286,0,34095.52,0.0
GNAF-GANSW705230984,0,32982.53,0.0
GNAF-GANSW705230303,0,39387.67,0.0
GNAF-GANSW705215929,0,92338.55,0.0
GNAF-GANSW705215966,0,100046.36,0.0
GNAF-GANSW705219965,0,27630.98,0.0
GNAF-GANSW705216045,0,35346.59,0.0
GNAF-GANSW717280429,0,39479.64,0.0
GNAF-GANSW716500353,0,41665.97,0.0
GNAF-GANSW716500334,0,37141.29,0.0
GNAF-GANSW716500349,0,45264.5,0.0
GNAF-GANSW716500340,0,35123.05,0.0
GNAF-GANSW705231014,0,26301.67,0.0
GNAF-GANSW705219270,0,23064.39,0.0
GNAF-GANSW705226235,0,42828.47,0.0
GNAF-GANSW705213384,0,29403.75,0.0
GNAF-GANSW705218569,0,76659.75,0.0
GNAF-GANSW705225281,0,34327.21,0.0
GNAF-GANSW705216039,0,35493.15,0.0
GNAF-GANSW705219276,0,27884.6,0.0
GNAF-GANSW705218568,0,35006.94,0.0
GNAF-GANSW705250619,0,253543.27,0.0
GNAF-GANSW704658698,0,49769.54,0.0
GNAF-GANSW704657166,0,48309.43,0.0
GNAF-GANSW705233578,0,32877.45,0.0
GNAF-GANSW705226144,0,34043.02,0.0
GNAF-GANSW705224553,0,34440.29,0.0
GNAF-GANSW704659809,0,78208.99,0.0
GNAF-GANSW704639956,0,60200.06,0.0
GNAF-GANSW704636438,0,47736.22,0.0
GNAF-GANSW704651979,0,47903.6,0.0
GNAF-GANSW704642565,0,55202.86,0.0
GNAF-GANSW705236192,0,39325.91,0.0
GNAF-GANSW705236292,0,26993.09,0.0
GNAF-GANSW705226130,0,33031.59,0.0
GNAF-GANSW705230315,0,29856.77,0.0
GNAF-GANSW705219977,0,32561.72,0.0
GNAF-GANSW704652756,0,38985.38,0.0
GNAF-GANSW704656020,0,34692.73,0.0
GNAF-GANSW704652715,0,49393.96,0.0
GNAF-GANSW704639508,0,45025.1,0.0
GNAF-GANSW704653363,0,37253.08,0.0
GNAF-GANSW704652642,0,38580.69,0.0
GNAF-GANSW704656047,0,29135.0,0.0
GNAF-GANSW705231094,0,52527.38,0.0
GNAF-GANSW705214468,0,24193.04,0.0
GNAF-GANSW705220426,0,46160.39,0.0
GNAF-GANSW705226139,0,27708.81,0.0
GNAF-GANSW705225268,0,36878.39,0.0
GNAF-GANSW705227227,0,37924.49,0.0
GNAF-GANSW705230554,0,39134.17,0.0
GNAF-GANSW705247336,0,34302.75,0.0
GNAF-GANSW705238060,0,43299.07,0.0
GNAF-GANSW705229892,0,27829.67,0.0
GNAF-GANSW705229828,0,35534.45,0.0
GNAF-GANSW705227229,0,34805.72,0.0
GNAF-GANSW705213330,0,36551.87,0.0
GNAF-GANSW705213377,0,31249.86,0.0
GNAF-GANSW705934421,0,56670.81,0.0
GNAF-GANSW705950987,0,40061.11,0.0
GNAF-GANSW705944326,0,48227.68,0.0
GNAF-GANSW705940730,0,36649.6,0.0
GNAF-GANSW704639982,0,32335.89,0.0
GNAF-GANSW705964887,0,37217.53,0.0
GNAF-GANSW705951029,0,39031.53,0.0
GNAF-GANSW705250611,0,56384.94,0.0
GNAF-GANSW705221929,0,20303.26,0.0
GNAF-GANSW705230969,0,51116.46,0.0
GNAF-GANSW705213367,0,35322.68,0.0
GNAF-GANSW704657993,0,55064.64,0.0
GNAF-GANSW704656472,0,42866.94,0.0
GNAF-GANSW704655971,0,37533.15,0.0
GNAF-GANSW705958170,0,40384.3,0.0
GNAF-GANSW717103486,0,36311.1,0.0
GNAF-GANSW717103487,0,38289.95,0.0
GNAF-GANSW717103489,0,28286.25,0.0
GNAF-GANSW717019488,0,65895.3,0.0
GNAF-GANSW712256461,0,35668.87,0.0
GNAF-GANSW704656007,0,41586.14,0.0
GNAF-GANSW704655356,0,43594.32,0.0
GNAF-GANSW705941755,0,43199.64,0.0
GNAF-GANSW707990944,0,35984.94,0.0
GNAF-GANSW719386876,0,38827.72,0.0
GNAF-GANSW705961290,0,24301.31,0.0
GNAF-GANSW705968458,0,32845.5,0.0
GNAF-GANSW705951011,0,28631.35,0.0
GNAF-GANSW719482337,0,27200.42,0.0
GNAF-GANSW705934297,0,60121.6,0.0
GNAF-GANSW705958168,0,34484.08,0.0
GNAF-GANSW705944718,0,43024.47,0.0
GNAF-GANSW705944316,0,28514.5,0.0
GNAF-GANSW704653859,0,45662.28,0.0
GNAF-GANSW712258919,0,51975.91,0.0
GNAF-GANSW708008315,0,32105.84,0.0
GNAF-GANSW718055665,0,21722.89,0.0
GNAF-GANSW705944717,0,33296.43,0.0
GNAF-GANSW705938515,0,40443.79,0.0
GNAF-GANSW705954950,0,29864.79,0.0
GNAF-GANSW705944676,0,34338.96,0.0
GNAF-GANSW705961293,0,32846.48,0.0
GNAF-GANSW705961260,0,38862.34,0.0
GNAF-GANSW705921137,0,40829.38,0.0
GNAF-GANSW705934342,0,30847.49,0.0
GNAF-GANSW705928273,0,219870.99,0.0
GNAF-GANSW705954943,0,40998.38,0.0
GNAF-GANSW705920801,0,26302.5,0.0
GNAF-GANSW705920835,0,48599.37,0.0
GNAF-GANSW705944636,0,43055.48,0.0
GNAF-GANSW705920531,0,45321.29,0.0
GNAF-GANSW705930482,0,54750.19,0.0
GNAF-GANSW705964865,0,40259.95,0.0
GNAF-GANSW705950994,0,35630.09,0.0
GNAF-GANSW705951031,0,44824.76,0.0
GNAF-GANSW705930467,0,48559.85,0.0
GNAF-GANSW705938519,0,35445.3,0.0
GNAF-GANSW705927179,0,37689.49,0.0
GNAF-GANSW705927184,0,47476.57,0.0
GNAF-GANSW705960996,0,36707.04,0.0
GNAF-GANSW704657164,0,60987.87,0.0
GNAF-GANSW704655998,0,38993.54,0.0
GNAF-GANSW708001605,0,41660.81,0.0
GNAF-GANSW705938528,0,75688.41,0.0
GNAF-GANSW705940763,0,34659.87,0.0
GNAF-GANSW705916898,0,32634.36,0.0
GNAF-GANSW705944325,0,39440.74,0.0
GNAF-GANSW705952023,0,29765.51,0.0
GNAF-GANSW705934302,0,24073.16,0.0
GNAF-GANSW705957709,0,48615.78,0.0
GNAF-GANSW705916919,0,34896.1,0.0
GNAF-GANSW705920797,0,28242.98,0.0
GNAF-GANSW705938497,0,27864.56,0.0
GNAF-GANSW705940723,0,45140.78,0.0
GNAF-GANSW705961288,0,64385.27,0.0
GNAF-GANSW705951001,0,43590.41,0.0
GNAF-GANSW705964875,0,35697.17,0.0
GNAF-GANSW705940764,0,50982.66,0.0
GNAF-GANSW705954586,0,28312.33,0.0
GNAF-GANSW705920816,0,29690.33,0.0
GNAF-GANSW705951007,0,59086.71,0.0
GNAF-GANSW705940701,0,34631.51,0.0
GNAF-GANSW705952029,0,34657.88,0.0
GNAF-GANSW705968444,0,33300.15,0.0
GNAF-GANSW705951017,0,33717.11,0.0
GNAF-GANSW705920809,0,38294.31,0.0
GNAF-GANSW705934301,0,43219.78,0.0
GNAF-GANSW705920532,0,44284.7,0.0
GNAF-GANSW705964885,0,28678.23,0.0
GNAF-GANSW705951023,0,28784.26,0.0
GNAF-GANSW705934295,0,41228.59,0.0
GNAF-GANSW705954319,0,25031.54,0.0
GNAF-GANSW705934328,0,57227.71,0.0
GNAF-GANSW705930873,0,44679.36,0.0
GNAF-GANSW718055668,0,43268.35,0.0
GNAF-GANSW705951024,0,36884.04,0.0
GNAF-GANSW705944372,0,33229.01,0.0
GNAF-GANSW705916916,0,45562.76,0.0
GNAF-GANSW705961314,0,44225.55,0.0
GNAF-GANSW705960994,0,40088.45,0.0
GNAF-GANSW705960922,0,30253.56,0.0
GNAF-GANSW705961298,0,35814.45,0.0
GNAF-GANSW705944677,0,41483.01,0.0
GNAF-GANSW705916906,0,27116.32,0.0
GNAF-GANSW705921146,0,32581.02,0.0
