day,surge_intensity,cumulative_material_consumed,stock_remaining,is_stocked_out
0,0.0,0,420,False
1,0.1667,0,420,False
2,0.3333,0,420,False
3,0.5,0,420,False
4,0.6667,0,420,False
5,0.8333,0,420,False
6,1.0,2,418,False
7,0.9999,2,418,False
8,0.9997,3,417,False
9,0.9992,4,416,False
10,0.9984,6,414,False
11,0.9974,6,414,False
12,0.9961,6,414,False
13,0.9946,10,410,False
14,0.9928,12,408,False
15,0.9906,12,408,False
16,0.9882,12,408,False
17,0.9855,14,406,False
18,0.9824,17,403,False
19,0.9791,18,402,False
20,0.9754,27,393,False
21,0.9714,30,390,False
22,0.9671,37,383,False
23,0.9625,40,380,False
24,0.9576,46,374,False
25,0.9524,53,367,False
26,0.9469,61,359,False
27,0.941,63,357,False
28,0.9349,71,349,False
29,0.9284,77,343,False
30,0.9217,83,337,False
31,0.9147,87,333,False
32,0.9073,93,327,False
33,0.8997,101,319,False
34,0.8919,105,315,False
35,0.8837,116,304,False
36,0.8753,125,295,False
37,0.8666,137,283,False
38,0.8577,144,276,False
39,0.8485,150,270,False
40,0.8391,162,258,False
41,0.8295,167,253,False
42,0.8196,178,242,False
43,0.8095,189,231,False
44,0.7993,200,220,False
45,0.7888,205,215,False
46,0.7781,214,206,False
47,0.7673,221,199,False
48,0.7563,233,187,False
49,0.7452,242,178,False
50,0.7339,253,167,False
51,0.7225,269,151,False
52,0.711,277,143,False
53,0.6993,293,127,False
54,0.6875,303,117,False
55,0.6757,309,111,False
56,0.6638,320,100,False
57,0.6518,336,84,False
58,0.6397,351,69,False
59,0.6276,361,59,False
60,0.6154,376,44,False
61,0.6032,390,30,False
62,0.591,399,21,False
63,0.5788,416,4,False
64,0.5666,425,0,True
65,0.5544,443,0,True
66,0.5422,460,0,True
67,0.5301,467,0,True
68,0.518,483,0,True
69,0.5059,499,0,True
70,0.4939,519,0,True
71,0.4819,534,0,True
72,0.4701,547,0,True
73,0.4583,563,0,True
74,0.4466,576,0,True
75,0.435,598,0,True
76,0.4235,608,0,True
77,0.4121,635,0,True
78,0.4009,652,0,True
79,0.3897,669,0,True
80,0.3787,684,0,True
81,0.3679,694,0,True
82,0.3572,706,0,True
83,0.3466,728,0,True
84,0.3362,749,0,True
85,0.3259,771,0,True
86,0.3158,789,0,True
87,0.3059,807,0,True
88,0.2961,819,0,True
89,0.2866,835,0,True
90,0.2772,855,0,True
91,0.2679,875,0,True
92,0.2589,893,0,True
93,0.25,914,0,True
94,0.2414,933,0,True
95,0.2329,950,0,True
96,0.2246,971,0,True
97,0.2165,989,0,True
98,0.2086,1011,0,True
99,0.2009,1032,0,True
100,0.1933,1054,0,True
101,0.186,1077,0,True
102,0.1788,1098,0,True
103,0.1719,1116,0,True
104,0.1651,1128,0,True
105,0.1585,1147,0,True
106,0.1521,1171,0,True
107,0.1459,1190,0,True
108,0.1399,1216,0,True
109,0.134,1236,0,True
110,0.1284,1263,0,True
111,0.1229,1285,0,True
112,0.1176,1307,0,True
113,0.1124,1334,0,True
114,0.1075,1358,0,True
115,0.1027,1375,0,True
116,0.098,1401,0,True
117,0.0936,1424,0,True
118,0.0893,1441,0,True
119,0.0851,1468,0,True
120,0.0811,1487,0,True
121,0.0772,1505,0,True
122,0.0735,1526,0,True
123,0.07,1552,0,True
124,0.0665,1570,0,True
125,0.0632,1593,0,True
126,0.0601,1613,0,True
127,0.057,1629,0,True
128,0.0541,1661,0,True
129,0.0513,1685,0,True
130,0.0487,1709,0,True
131,0.0461,1731,0,True
132,0.0437,1762,0,True
133,0.0413,1782,0,True
134,0.0391,1803,0,True
135,0.037,1819,0,True
136,0.035,1844,0,True
137,0.033,1877,0,True
138,0.0312,1903,0,True
139,0.0294,1923,0,True
140,0.0277,1943,0,True
141,0.0261,1969,0,True
142,0.0246,1986,0,True
143,0.0232,2011,0,True
144,0.0218,2028,0,True
