property_id,address,suburb,postcode,latitude,longitude,ground_elevation_m_ahd,building_footprint,building_area_m2,dwelling_structure_census,bedroom_count,vehicle_count,ev_count,affluence_score,construction_type,floor_height_offset_m,switchboard_type,circuit_count,kitchen_spec,flooring,building_age_years,flood_planning_level_m_ahd,peak_water_level_m_ahd,peak_depth_above_floor_m,depth_above_floor_m,wetted_wall_area_m2,severity_factor,switchboard_cost_aud,plasterboard_cost_aud,flooring_cost_aud,kitchen_cabinetry_cost_aud,electrical_cost_aud,appliance_cost_aud,drying_decon_cost_aud,painting_cost_aud,demolition_cost_aud,initial_estimated_cost_aud,insurance_delay_days,job_start_day,job_duration_days,job_end_day,scope_multiplier,stockout_day_relevant,labour_actual_aud,materials_actual_aud,actual_repair_cost_aud
GNAF-GANSW720896350,UNIT 1 59 MAGELLAN STREET,LISMORE,2480,-28.80958286,153.27631302,9.96399974822998,"[[153.2763596, -28.809488900000005], [153.2762339, -28.80967490000001], [153.2763024, -28.809709699999996], [153.2764335, -28.809530799999997], [153.2763596, -28.809488900000005]]",64.6,separate_house,3,1,0,0.15901060070671377,short_stumps,0.5,ceramic_fuse,6,basic_laminate,vinyl,90,13.4,14.4,3.936,3.936,77.16,2.0,1301.94,8150.9,3736.19,3686.05,1434.18,3123.35,2591.84,2069.93,3552.68,29647.07,5.25,155,15,170,1.4,True,20803.53,25728.94,46532.47
GNAF-GANSW705238187,8 FREDERICK STREET,LISMORE HEIGHTS,2480,-28.81042769,153.30575524,122.4739990234375,,94.0,separate_house,3,2,0,0.5830388692579506,short_stumps,0.5,ceramic_fuse,8,basic_laminate,carpet,159,13.4,14.4,0.0,0.0,11.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW720555145,OAK TREE RETIREMENT VLGE UNIT 16 17 MACKELLAR PLACE,GOONELLABAH,2480,-28.81308575,153.34120822,147.33099365234375,,82.1,semi_detached,3,2,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_rcd,22,premium_stone_island,polished_concrete,1,13.4,14.4,0.0,0.0,10.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717097481,68 DAWSON STREET,LISMORE,2480,-28.80831739,153.28337941,5.327000141143799,,140.3,separate_house,5,2,0,0.15901060070671377,slab_on_ground,0.15,circuit_breaker_rcd,11,basic_laminate,carpet,40,13.4,14.4,8.923,8.923,113.71,2.0,2279.44,8289.46,9798.72,3776.29,2067.7,3050.06,9050.26,3712.34,7003.76,49028.04,5.18,58,20,78,1.4,True,56701.95,41263.94,97965.88
GNAF-GANSW717097483,7 DAWSON STREET,LISMORE,2480,-28.80872888,153.28146476,6.880000114440918,,140.9,flat_or_apartment,4,1,0,0.15901060070671377,slab_on_ground,0.15,circuit_breaker_rcd,26,stone_benchtop,tile,0,13.4,14.4,7.37,7.37,113.95,2.0,2638.71,10295.93,17442.58,6968.8,6475.59,8839.85,5324.73,2843.63,7221.23,68051.03,2.02,48,24,72,1.4,True,48634.4,59758.08,108392.47
GNAF-GANSW705951040,194 UNION STREET,SOUTH LISMORE,2480,-28.81714385,153.26617546,10.293999671936035,,113.7,separate_house,3,2,0,0.0,short_stumps,0.5,circuit_breaker_rcd,8,basic_laminate,vinyl,54,13.4,14.4,3.606,3.606,102.36,2.0,2356.74,10753.66,5728.4,4333.6,1585.44,4245.51,4719.14,2444.87,5621.49,41788.85,3.17,165,18,183,1.4,True,30551.54,24787.36,55338.9
GNAF-GANSW719387485,SHOP 3 28 CARRINGTON STREET,LISMORE,2480,-28.80912195,153.27712827,10.100000381469727,"[[153.2770943, -28.80930500000001], [153.2772754, -28.8090378], [153.2771369, -28.808965799999996], [153.2769714, -28.809208600000005], [153.2769842, -28.80924779999999], [153.2770943, -28.80930500000001]]",76.8,separate_house,3,1,0,0.15901060070671377,slab_on_ground,0.15,circuit_breaker_basic,10,basic_laminate,carpet,64,13.4,14.4,4.15,4.15,84.13,2.0,1473.12,9598.05,5629.23,3719.93,2001.02,3387.62,4179.82,2506.22,3352.16,35847.17,3.94,164,16,180,1.4,True,25838.55,23572.21,49410.76
GNAF-GANSW705934317,19 FOLEYS ROAD,SOUTH LISMORE,2480,-28.8134656,153.2672393,10.33899974822998,,114.4,separate_house,3,1,0,0.0,slab_on_ground,0.15,ceramic_fuse,9,basic_laminate,carpet,132,13.4,14.4,3.911,3.911,102.68,2.0,1403.86,7903.69,8934.03,3962.05,2066.66,3255.2,4922.97,2965.62,4144.99,39559.06,2.32,228,19,247,1.4,True,24521.59,33894.57,58416.16
GNAF-GANSW705920843,34 ENGINE STREET,SOUTH LISMORE,2480,-28.81141959,153.26492944,10.600000381469727,,93.5,separate_house,3,1,0,0.0,high_stumps,1.5,circuit_breaker_basic,10,standard_laminate,timber_floorboards,74,13.4,14.4,2.3,2.3,92.83,2.0,2226.13,8193.24,12909.41,4955.48,2377.71,3828.72,3839.02,2981.34,4710.76,46021.82,3.2,411,19,430,1.4,True,28543.5,42174.88,70718.38
GNAF-GANSW705968470,51 NEWBRIDGE STREET,SOUTH LISMORE,2480,-28.81274301,153.26229666,10.090999603271484,,66.4,separate_house,3,2,0,0.0,high_stumps,1.5,circuit_breaker_basic,8,standard_laminate,timber_floorboards,57,13.4,14.4,2.809,2.809,78.23,2.0,2131.43,8458.22,8804.08,4644.76,1806.09,3102.55,2632.27,2309.9,2907.3,36796.6,5.54,292,17,309,1.4,True,23715.59,29171.05,52886.64
