property_id,day,repair_status,actual_repair_cost_aud
GNAF-GANSW720896350,0,awaiting_insurance,
GNAF-GANSW720896350,5,in_queue,
GNAF-GANSW720896350,155,in_progress,
GNAF-GANSW720896350,170,completed,46532.47
GNAF-GANSW705238187,0,not_started,
GNAF-GANSW720555145,0,not_started,
GNAF-GANSW717097481,0,awaiting_insurance,
GNAF-GANSW717097481,5,in_queue,
GNAF-GANSW717097481,58,in_progress,
GNAF-GANSW717097481,78,completed,97965.88
GNAF-GANSW717097483,0,awaiting_insurance,
GNAF-GANSW717097483,2,in_queue,
GNAF-GANSW717097483,48,in_progress,
GNAF-GANSW717097483,72,completed,108392.47
GNAF-GANSW705951040,0,awaiting_insurance,
GNAF-GANSW705951040,3,in_queue,
GNAF-GANSW705951040,165,in_progress,
GNAF-GANSW705951040,183,completed,55338.9
GNAF-GANSW719387485,0,awaiting_insurance,
GNAF-GANSW719387485,4,in_queue,
GNAF-GANSW719387485,164,in_progress,
GNAF-GANSW719387485,180,completed,49410.76
GNAF-GANSW705934317,0,awaiting_insurance,
GNAF-GANSW705934317,2,in_queue,
GNAF-GANSW705934317,228,in_progress,
GNAF-GANSW705934317,247,completed,58416.16
GNAF-GANSW705920843,0,awaiting_insurance,
GNAF-GANSW705920843,3,in_queue,
GNAF-GANSW705920843,411,in_progress,
GNAF-GANSW705920843,430,completed,70718.38
GNAF-GANSW705968470,0,awaiting_insurance,
GNAF-GANSW705968470,6,in_queue,
GNAF-GANSW705968470,292,in_progress,
GNAF-GANSW705968470,309,completed,52886.64
GNAF-GANSW705921140,0,awaiting_insurance,
GNAF-GANSW705921140,5,in_queue,
GNAF-GANSW705921140,271,in_progress,
GNAF-GANSW705921140,295,completed,83381.94
GNAF-GANSW720334959,0,not_started,
GNAF-GANSW704636194,0,not_started,
GNAF-GANSW717785002,0,awaiting_insurance,
GNAF-GANSW717785002,5,in_queue,
GNAF-GANSW717785002,330,in_progress,
GNAF-GANSW717785002,344,completed,39434.31
GNAF-GANSW704653116,0,not_started,
GNAF-GANSW718275825,0,awaiting_insurance,
GNAF-GANSW718275825,8,in_queue,
GNAF-GANSW718275825,50,in_progress,
GNAF-GANSW718275825,64,completed,56620.79
GNAF-GANSW718275826,0,awaiting_insurance,
GNAF-GANSW718275826,4,in_queue,
GNAF-GANSW718275826,77,in_progress,
GNAF-GANSW718275826,92,completed,53112.19
GNAF-GANSW718275822,0,awaiting_insurance,
GNAF-GANSW718275822,7,in_queue,
GNAF-GANSW718275822,40,in_progress,
GNAF-GANSW718275822,52,completed,59224.78
GNAF-GANSW718275823,0,awaiting_insurance,
GNAF-GANSW718275823,7,in_queue,
GNAF-GANSW718275823,59,in_progress,
GNAF-GANSW718275823,77,completed,75806.83
GNAF-GANSW718275824,0,awaiting_insurance,
GNAF-GANSW718275824,4,in_queue,
GNAF-GANSW718275824,111,in_progress,
GNAF-GANSW718275824,127,completed,59020.39
GNAF-GANSW716665667,0,not_started,
GNAF-GANSW717280863,0,not_started,
GNAF-GANSW717280871,0,not_started,
GNAF-GANSW717280870,0,not_started,
GNAF-GANSW717280866,0,not_started,
GNAF-GANSW717280876,0,not_started,
GNAF-GANSW717280888,0,not_started,
GNAF-GANSW717280861,0,awaiting_insurance,
GNAF-GANSW717280861,6,in_queue,
GNAF-GANSW717280861,293,in_progress,
GNAF-GANSW717280861,307,completed,48450.44
GNAF-GANSW718275830,0,awaiting_insurance,
GNAF-GANSW718275830,4,in_queue,
GNAF-GANSW718275830,36,in_progress,
GNAF-GANSW718275830,53,completed,51173.19
GNAF-GANSW718275827,0,awaiting_insurance,
GNAF-GANSW718275827,5,in_queue,
GNAF-GANSW718275827,117,in_progress,
GNAF-GANSW718275827,130,completed,57946.87
GNAF-GANSW705228794,0,awaiting_insurance,
GNAF-GANSW705228794,4,in_queue,
GNAF-GANSW705228794,203,in_progress,
GNAF-GANSW705228794,219,completed,47132.49
GNAF-GANSW717280915,0,awaiting_insurance,
GNAF-GANSW717280915,4,in_queue,
GNAF-GANSW717280915,253,in_progress,
GNAF-GANSW717280915,267,completed,42468.8
GNAF-GANSW717280852,0,awaiting_insurance,
GNAF-GANSW717280852,7,in_queue,
GNAF-GANSW717280852,99,in_progress,
GNAF-GANSW717280852,113,completed,38691.61
GNAF-GANSW717292829,0,awaiting_insurance,
GNAF-GANSW717292829,6,in_queue,
GNAF-GANSW717292829,316,in_progress,
GNAF-GANSW717292829,330,completed,52011.59
GNAF-GANSW717280920,0,awaiting_insurance,
GNAF-GANSW717280920,6,in_queue,
GNAF-GANSW717280920,296,in_progress,
GNAF-GANSW717280920,311,completed,43108.65
GNAF-GANSW717229098,0,awaiting_insurance,
GNAF-GANSW717229098,4,in_queue,
GNAF-GANSW717229098,124,in_progress,
GNAF-GANSW717229098,141,completed,58158.48
GNAF-GANSW718275833,0,awaiting_insurance,
GNAF-GANSW718275833,4,in_queue,
GNAF-GANSW718275833,64,in_progress,
GNAF-GANSW718275833,83,completed,60353.79
GNAF-GANSW717095753,0,not_started,
GNAF-GANSW716704142,0,not_started,
GNAF-GANSW716704141,0,not_started,
GNAF-GANSW718135788,0,not_started,
GNAF-GANSW717280710,0,not_started,
GNAF-GANSW717280624,0,not_started,
GNAF-GANSW717280646,0,not_started,
GNAF-GANSW717280601,0,not_started,
GNAF-GANSW717280721,0,not_started,
GNAF-GANSW717280695,0,not_started,
GNAF-GANSW717280799,0,not_started,
GNAF-GANSW717280756,0,not_started,
GNAF-GANSW717280762,0,not_started,
GNAF-GANSW717280645,0,not_started,
GNAF-GANSW717280702,0,not_started,
GNAF-GANSW717280659,0,not_started,
GNAF-GANSW717280617,0,not_started,
GNAF-GANSW717292797,0,not_started,
GNAF-GANSW717097561,0,not_started,
GNAF-GANSW717280741,0,not_started,
GNAF-GANSW717280720,0,not_started,
GNAF-GANSW717280610,0,not_started,
GNAF-GANSW717280796,0,not_started,
GNAF-GANSW717280686,0,not_started,
GNAF-GANSW717280635,0,not_started,
GNAF-GANSW717280736,0,not_started,
GNAF-GANSW717846423,0,not_started,
GNAF-GANSW717280667,0,not_started,
GNAF-GANSW717280766,0,not_started,
GNAF-GANSW717280838,0,not_started,
GNAF-GANSW718135787,0,not_started,
GNAF-GANSW717280792,0,not_started,
GNAF-GANSW717280758,0,not_started,
GNAF-GANSW717280650,0,not_started,
GNAF-GANSW717280715,0,not_started,
GNAF-GANSW717280794,0,not_started,
GNAF-GANSW717280612,0,not_started,
GNAF-GANSW717280781,0,not_started,
GNAF-GANSW717280742,0,not_started,
GNAF-GANSW717280738,0,not_started,
GNAF-GANSW717280833,0,not_started,
GNAF-GANSW717280704,0,not_started,
GNAF-GANSW717280633,0,not_started,
GNAF-GANSW719190135,0,awaiting_insurance,
GNAF-GANSW719190135,2,in_queue,
GNAF-GANSW719190135,110,in_progress,
GNAF-GANSW719190135,131,completed,55268.1
GNAF-GANSW705920796,0,awaiting_insurance,
GNAF-GANSW705920796,14,in_queue,
GNAF-GANSW705920796,377,in_progress,
GNAF-GANSW705920796,397,completed,75362.54
GNAF-GANSW719190131,0,awaiting_insurance,
GNAF-GANSW719190131,1,in_queue,
GNAF-GANSW719190131,260,in_progress,
GNAF-GANSW719190131,274,completed,53302.91
GNAF-GANSW719190077,0,awaiting_insurance,
GNAF-GANSW719190077,6,in_queue,
GNAF-GANSW719190077,154,in_progress,
GNAF-GANSW719190077,177,completed,72775.58
GNAF-GANSW718037948,0,awaiting_insurance,
GNAF-GANSW718037948,5,in_queue,
GNAF-GANSW718037948,287,in_progress,
GNAF-GANSW718037948,303,completed,48381.16
GNAF-GANSW719462636,0,awaiting_insurance,
GNAF-GANSW719462636,6,in_queue,
GNAF-GANSW719462636,470,in_progress,
GNAF-GANSW719462636,505,completed,165149.57
GNAF-GANSW705219304,0,awaiting_insurance,
GNAF-GANSW705219304,2,in_queue,
GNAF-GANSW705219304,193,in_progress,
GNAF-GANSW705219304,207,completed,33203.51
GNAF-GANSW719667124,0,not_started,
GNAF-GANSW718376608,0,not_started,
GNAF-GANSW712299344,0,not_started,
GNAF-GANSW712299363,0,not_started,
GNAF-GANSW717218672,0,not_started,
GNAF-GANSW705916980,0,awaiting_insurance,
GNAF-GANSW705916980,6,in_queue,
GNAF-GANSW705916980,83,in_progress,
GNAF-GANSW705916980,98,completed,61554.21
GNAF-GANSW716499181,0,awaiting_insurance,
GNAF-GANSW716499181,2,in_queue,
GNAF-GANSW716499181,164,in_progress,
GNAF-GANSW716499181,180,completed,47366.98
GNAF-GANSW704838352,0,not_started,
GNAF-GANSW719188878,0,awaiting_insurance,
GNAF-GANSW719188878,3,in_queue,
GNAF-GANSW719188878,154,in_progress,
GNAF-GANSW719188878,174,completed,72401.39
GNAF-GANSW716499487,0,not_started,
GNAF-GANSW716499491,0,not_started,
GNAF-GANSW716499492,0,not_started,
GNAF-GANSW716499493,0,not_started,
GNAF-GANSW709051161,0,not_started,
GNAF-GANSW716499484,0,not_started,
GNAF-GANSW721927725,0,not_started,
GNAF-GANSW718042423,0,not_started,
GNAF-GANSW716499490,0,not_started,
GNAF-GANSW719178726,0,not_started,
GNAF-GANSW719178727,0,not_started,
GNAF-GANSW704847648,0,not_started,
GNAF-GANSW704837689,0,not_started,
GNAF-GANSW712329414,0,not_started,
GNAF-GANSW704837687,0,not_started,
GNAF-GANSW712329413,0,not_started,
GNAF-GANSW718054578,0,awaiting_insurance,
GNAF-GANSW718054578,5,in_queue,
GNAF-GANSW718054578,195,in_progress,
GNAF-GANSW718054578,210,completed,61331.79
GNAF-GANSW708009360,0,awaiting_insurance,
GNAF-GANSW708009360,8,in_queue,
GNAF-GANSW708009360,227,in_progress,
GNAF-GANSW708009360,243,completed,51650.38
GNAF-GANSW704642629,0,awaiting_insurance,
GNAF-GANSW704642629,4,in_queue,
GNAF-GANSW704642629,204,in_progress,
GNAF-GANSW704642629,220,completed,61209.45
GNAF-GANSW719178975,0,not_started,
GNAF-GANSW708000740,0,awaiting_insurance,
GNAF-GANSW708000740,3,in_queue,
GNAF-GANSW708000740,193,in_progress,
GNAF-GANSW708000740,216,completed,83232.22
GNAF-GANSW720781767,0,not_started,
GNAF-GANSW718470424,0,awaiting_insurance,
GNAF-GANSW718470424,6,in_queue,
GNAF-GANSW718470424,157,in_progress,
GNAF-GANSW718470424,170,completed,50004.99
GNAF-GANSW719022260,0,not_started,
GNAF-GANSW719391814,0,not_started,
GNAF-GANSW719392584,0,awaiting_insurance,
GNAF-GANSW719392584,7,in_queue,
GNAF-GANSW719392584,246,in_progress,
GNAF-GANSW719392584,259,completed,28121.2
GNAF-GANSW704842104,0,not_started,
GNAF-GANSW719392585,0,awaiting_insurance,
GNAF-GANSW719392585,3,in_queue,
GNAF-GANSW719392585,169,in_progress,
GNAF-GANSW719392585,182,completed,22514.17
GNAF-GANSW704846279,0,not_started,
GNAF-GANSW716487434,0,awaiting_insurance,
GNAF-GANSW716487434,3,in_queue,
GNAF-GANSW716487434,184,in_progress,
GNAF-GANSW716487434,195,completed,41276.74
GNAF-GANSW717575860,0,awaiting_insurance,
GNAF-GANSW717575860,6,in_queue,
GNAF-GANSW717575860,99,in_progress,
GNAF-GANSW717575860,119,completed,75326.42
GNAF-GANSW705221958,0,awaiting_insurance,
GNAF-GANSW705221958,6,in_queue,
GNAF-GANSW705221958,108,in_progress,
GNAF-GANSW705221958,128,completed,83727.13
GNAF-GANSW716487426,0,awaiting_insurance,
GNAF-GANSW716487426,8,in_queue,
GNAF-GANSW716487426,267,in_progress,
GNAF-GANSW716487426,284,completed,67721.43
GNAF-GANSW716487428,0,awaiting_insurance,
GNAF-GANSW716487428,2,in_queue,
GNAF-GANSW716487428,203,in_progress,
GNAF-GANSW716487428,216,completed,39029.2
GNAF-GANSW716487430,0,awaiting_insurance,
GNAF-GANSW716487430,4,in_queue,
GNAF-GANSW716487430,178,in_progress,
GNAF-GANSW716487430,197,completed,64732.74
GNAF-GANSW716487431,0,awaiting_insurance,
GNAF-GANSW716487431,6,in_queue,
GNAF-GANSW716487431,234,in_progress,
GNAF-GANSW716487431,249,completed,42400.14
GNAF-GANSW716487432,0,awaiting_insurance,
GNAF-GANSW716487432,1,in_queue,
GNAF-GANSW716487432,206,in_progress,
GNAF-GANSW716487432,224,completed,63917.17
GNAF-GANSW716487433,0,awaiting_insurance,
GNAF-GANSW716487433,7,in_queue,
GNAF-GANSW716487433,180,in_progress,
GNAF-GANSW716487433,199,completed,62725.31
GNAF-GANSW721071207,0,not_started,
GNAF-GANSW717575852,0,awaiting_insurance,
GNAF-GANSW717575852,5,in_queue,
GNAF-GANSW717575852,116,in_progress,
GNAF-GANSW717575852,131,completed,38108.37
GNAF-GANSW717575853,0,not_started,
GNAF-GANSW717575854,0,awaiting_insurance,
GNAF-GANSW717575854,5,in_queue,
GNAF-GANSW717575854,128,in_progress,
GNAF-GANSW717575854,148,completed,99155.9
GNAF-GANSW717018489,0,not_started,
GNAF-GANSW719471550,0,awaiting_insurance,
GNAF-GANSW719471550,6,in_queue,
GNAF-GANSW719471550,114,in_progress,
GNAF-GANSW719471550,127,completed,54471.18
GNAF-GANSW707989969,0,awaiting_insurance,
GNAF-GANSW707989969,4,in_queue,
GNAF-GANSW707989969,242,in_progress,
GNAF-GANSW707989969,256,completed,39194.01
GNAF-GANSW704636156,0,not_started,
GNAF-GANSW712302068,0,not_started,
GNAF-GANSW705237012,0,not_started,
GNAF-GANSW705227338,0,not_started,
GNAF-GANSW705226264,0,not_started,
GNAF-GANSW705231376,0,not_started,
GNAF-GANSW716529539,0,not_started,
GNAF-GANSW705214547,0,not_started,
GNAF-GANSW705231379,0,not_started,
GNAF-GANSW705234377,0,not_started,
GNAF-GANSW705226214,0,not_started,
GNAF-GANSW705250660,0,not_started,
GNAF-GANSW705237029,0,not_started,
GNAF-GANSW705248066,0,not_started,
GNAF-GANSW712306816,0,not_started,
GNAF-GANSW712285958,0,not_started,
GNAF-GANSW705244802,0,not_started,
GNAF-GANSW705222663,0,not_started,
GNAF-GANSW705225235,0,not_started,
GNAF-GANSW712262159,0,awaiting_insurance,
GNAF-GANSW712262159,4,in_queue,
GNAF-GANSW712262159,177,in_progress,
GNAF-GANSW712262159,190,completed,31435.94
GNAF-GANSW716735284,0,awaiting_insurance,
GNAF-GANSW716735284,6,in_queue,
GNAF-GANSW716735284,147,in_progress,
GNAF-GANSW716735284,195,completed,233886.29
GNAF-GANSW712276125,0,not_started,
GNAF-GANSW705215937,0,awaiting_insurance,
GNAF-GANSW705215937,3,in_queue,
GNAF-GANSW705215937,199,in_progress,
GNAF-GANSW705215937,224,completed,55060.31
GNAF-GANSW716729515,0,awaiting_insurance,
GNAF-GANSW716729515,6,in_queue,
GNAF-GANSW716729515,178,in_progress,
GNAF-GANSW716729515,200,completed,64450.46
GNAF-GANSW705247354,0,awaiting_insurance,
GNAF-GANSW705247354,3,in_queue,
GNAF-GANSW705247354,130,in_progress,
GNAF-GANSW705247354,154,completed,100634.27
GNAF-GANSW715366983,0,awaiting_insurance,
GNAF-GANSW715366983,2,in_queue,
GNAF-GANSW715366983,254,in_progress,
GNAF-GANSW715366983,266,completed,38192.47
GNAF-GANSW712269398,0,not_started,
GNAF-GANSW712262160,0,awaiting_insurance,
GNAF-GANSW712262160,2,in_queue,
GNAF-GANSW712262160,207,in_progress,
GNAF-GANSW712262160,218,completed,28124.63
GNAF-GANSW712306357,0,not_started,
GNAF-GANSW712262155,0,awaiting_insurance,
GNAF-GANSW712262155,2,in_queue,
GNAF-GANSW712262155,115,in_progress,
GNAF-GANSW712262155,129,completed,32875.72
GNAF-GANSW717737362,0,awaiting_insurance,
GNAF-GANSW717737362,8,in_queue,
GNAF-GANSW717737362,364,in_progress,
GNAF-GANSW717737362,375,completed,36080.21
GNAF-GANSW712259968,0,not_started,
GNAF-GANSW708379560,0,awaiting_insurance,
GNAF-GANSW708379560,3,in_queue,
GNAF-GANSW708379560,478,in_progress,
GNAF-GANSW708379560,496,completed,53785.5
GNAF-GANSW712259966,0,not_started,
GNAF-GANSW704836048,0,not_started,
GNAF-GANSW716495377,0,awaiting_insurance,
GNAF-GANSW716495377,3,in_queue,
GNAF-GANSW716495377,253,in_progress,
GNAF-GANSW716495377,271,completed,46626.79
GNAF-GANSW712312625,0,not_started,
GNAF-GANSW717113019,0,awaiting_insurance,
GNAF-GANSW717113019,3,in_queue,
GNAF-GANSW717113019,226,in_progress,
GNAF-GANSW717113019,239,completed,51051.85
GNAF-GANSW716923357,0,not_started,
GNAF-GANSW706448711,0,awaiting_insurance,
GNAF-GANSW706448711,6,in_queue,
GNAF-GANSW706448711,161,in_progress,
GNAF-GANSW706448711,175,completed,51088.95
GNAF-GANSW719949960,0,not_started,
GNAF-GANSW708000557,0,awaiting_insurance,
GNAF-GANSW708000557,9,in_queue,
GNAF-GANSW708000557,144,in_progress,
