day,daily_static_spend_aud,cumulative_static_spend_aud
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,14081.26,14081.26
7,0.0,14081.26
8,5516.89,19598.15
9,7523.69,27121.84
10,21468.67,48590.51
11,0.0,48590.51
12,0.0,48590.51
13,30764.06,79354.57
14,16347.4,95701.97
15,0.0,95701.97
16,0.0,95701.97
17,14268.37,109970.34
18,39595.38,149565.72
19,8268.25,157833.97
20,76674.23,234508.2
21,56732.12,291240.32
22,100218.85,391459.17
23,53691.46,445150.63
24,50487.54,495638.17
25,88897.91,584536.08
26,100182.12,684718.2
27,46494.72,731212.92
28,93607.85,824820.77
29,95423.88,920244.65
30,93080.59,1013325.24
31,26975.77,1040301.01
32,177805.27,1218106.28
33,141718.59,1359824.87
34,185301.98,1545126.85
35,271847.38,1816974.23
36,163316.38,1980290.61
37,303810.32,2284100.93
38,192236.33,2476337.26
39,229468.19,2705805.45
40,291736.74,2997542.19
41,264240.79,3261782.98
42,328978.29,3590761.27
43,307821.96,3898583.23
44,283114.8,4181698.03
45,238166.2,4419864.23
46,224125.16,4643989.39
47,268190.66,4912180.05
48,265207.65,5177387.7
49,157726.43,5335114.13
50,248938.64,5584052.77
51,364055.11,5948107.88
52,398099.01,6346206.89
53,526317.35,6872524.24
54,436149.68,7308673.92
55,508083.21,7816757.13
56,477969.61,8294726.74
57,383064.44,8677791.18
58,497582.62,9175373.8
59,569123.3,9744497.1
60,381920.71,10126417.81
61,426637.32,10553055.13
62,258204.25,10811259.38
63,293259.35,11104518.73
64,291520.96,11396039.69
65,539438.99,11935478.68
66,660206.7,12595685.38
67,310787.15,12906472.53
68,506385.59,13412858.12
69,477971.43,13890829.55
70,398540.01,14289369.56
71,196707.14,14486076.7
72,607945.51,15094022.21
73,426272.59,15520294.8
74,542047.06,16062341.86
75,669193.24,16731535.1
76,474210.54,17205745.64
77,619492.47,17825238.11
78,631395.05,18456633.16
79,1031230.47,19487863.63
80,625044.61,20112908.24
81,709574.91,20822483.15
82,855855.78,21678338.93
83,728083.71,22406422.64
84,780256.15,23186678.79
85,760677.15,23947355.94
86,708200.04,24655555.98
87,860393.41,25515949.39
88,754659.42,26270608.81
89,614271.71,26884880.52
90,741978.94,27626859.46
91,739423.19,28366282.65
92,708933.17,29075215.82
93,769547.75,29844763.57
94,617882.41,30462645.98
95,659261.57,31121907.55
96,847296.87,31969204.42
97,757126.96,32726331.38
98,660965.78,33387297.16
99,976548.92,34363846.08
100,774805.04,35138651.12
101,840581.05,35979232.17
102,855912.02,36835144.19
103,878819.12,37713963.31
104,893162.91,38607126.22
105,1020356.08,39627482.3
106,874700.46,40502182.76
107,433554.69,40935737.45
108,902177.48,41837914.93
109,610515.97,42448430.9
110,975631.28,43424062.18
111,765387.17,44189449.35
112,982745.5,45172194.85
113,1473832.49,46646027.34
114,989313.11,47635340.45
115,953519.8,48588860.25
116,709319.24,49298179.49
117,841837.56,50140017.05
118,800257.83,50940274.88
119,895559.75,51835834.63
120,742331.98,52578166.61
121,1153342.99,53731509.6
122,775383.33,54506892.93
123,1050716.0,55557608.93
124,792411.61,56350020.54
125,877724.94,57227745.48
126,954119.31,58181864.79
127,822916.91,59004781.7
128,853830.57,59858612.27
129,1093699.47,60952311.74
130,1097201.72,62049513.46
131,1177415.78,63226929.24
132,1024960.63,64251889.87
133,839881.09,65091770.96
134,1407135.43,66498906.39
135,871790.37,67370696.76
136,759207.14,68129903.9
137,872501.32,69002405.22
138,519757.03,69522162.25
139,818155.13,70340317.38
140,891645.94,71231963.32
141,993698.14,72225661.46
142,946290.67,73171952.13
143,1721509.01,74893461.14
144,1030619.53,75924080.67
145,835171.77,76759252.44
146,1161070.55,77920322.99
147,758056.94,78678379.93
148,1163676.11,79842056.04
149,904227.64,80746283.68
150,1117542.63,81863826.31
151,1275659.78,83139486.09
152,1185041.15,84324527.24
153,1069039.36,85393566.6
154,1113588.78,86507155.38
155,1341880.09,87849035.47
156,841103.73,88690139.2
157,709816.35,89399955.55
158,858884.25,90258839.8
159,1075125.01,91333964.81
160,849606.53,92183571.34
161,1283646.08,93467217.42
162,1303087.23,94770304.65
163,968136.1,95738440.75
164,921295.76,96659736.51
165,1277928.08,97937664.59
166,943419.0,98881083.59
167,1648814.68,100529898.27
168,1016360.82,101546259.09
169,1177201.24,102723460.33
170,1086650.97,103810111.3
171,1167804.05,104977915.35
172,1166805.98,106144721.33
173,1006648.74,107151370.07
174,1338658.95,108490029.02
175,1122790.2,109612819.22
176,1168878.71,110781697.93
177,1205459.39,111987157.32
178,1115823.76,113102981.08
179,1199264.49,114302245.57
180,851722.4,115153967.97
181,896379.3,116050347.27
182,1045419.0,117095766.27
183,992707.56,118088473.83
184,1269470.85,119357944.68
185,1230994.59,120588939.27
186,995258.22,121584197.49
187,1095844.37,122680041.86
188,729415.93,123409457.79
189,834602.88,124244060.67
190,1385645.27,125629705.94
191,782824.62,126412530.56
192,885265.24,127297795.8
193,889399.47,128187195.27
194,916610.64,129103805.91
195,1423324.59,130527130.5
196,1041594.14,131568724.64
197,1602065.91,133170790.55
198,929701.98,134100492.53
199,1131207.38,135231699.91
200,1374256.05,136605955.96
201,1049809.79,137655765.75
202,1458531.01,139114296.76
203,1136162.43,140250459.19
204,1122230.36,141372689.55
205,1223408.68,142596098.23
206,850392.99,143446491.22
207,1148742.83,144595234.05
208,1469857.4,146065091.45
209,892272.77,146957364.22
210,954242.48,147911606.7
211,1279431.23,149191037.93
212,996554.97,150187592.9
213,955537.27,151143130.17
214,1235672.79,152378802.96
215,874465.17,153253268.13
216,1561821.93,154815090.06
217,984679.24,155799769.3
218,811781.45,156611550.75
219,1247965.04,157859515.79
220,1010143.17,158869658.96
221,1175026.99,160044685.95
222,1120961.56,161165647.51
223,1355327.4,162520974.91
224,1098470.76,163619445.67
225,1121578.91,164741024.58
226,804314.34,165545338.92
227,974098.42,166519437.34
228,1138929.22,167658366.56
229,1034576.54,168692943.1
230,791633.01,169484576.11
231,859885.53,170344461.64
232,1106331.33,171450792.97
233,975904.68,172426697.65
234,925708.14,173352405.79
235,1158408.79,174510814.58
236,1132103.27,175642917.85
237,1102724.78,176745642.63
238,1195402.16,177941044.79
239,660555.12,178601599.91
240,867396.94,179468996.85
241,887583.34,180356580.19
242,1202782.94,181559363.13
243,891666.53,182451029.66
244,1337570.1,183788599.76
245,1198357.72,184986957.48
246,860662.27,185847619.75
247,900396.31,186748016.06
248,549859.6,187297875.66
249,1010709.54,188308585.2
250,1000691.36,189309276.56
251,1319888.07,190629164.63
252,903840.84,191533005.47
253,703126.94,192236132.41
254,1277025.06,193513157.47
255,863213.37,194376370.84
256,1080589.64,195456960.48
257,806203.55,196263164.03
258,963223.31,197226387.34
259,918941.82,198145329.16
260,833136.81,198978465.97
261,1102495.1,200080961.07
262,683509.38,200764470.45
263,1407230.19,202171700.64
264,848741.12,203020441.76
265,895782.33,203916224.09
266,871899.51,204788123.6
267,671817.59,205459941.19
268,653326.88,206113268.07
269,846179.41,206959447.48
270,1135308.69,208094756.17
271,982251.11,209077007.28
272,985851.2,210062858.48
273,933099.68,210995958.16
274,621361.47,211617319.63
275,1007407.58,212624727.21
276,820725.32,213445452.53
277,636930.43,214082382.96
278,808922.41,214891305.37
279,1046280.7,215937586.07
280,948933.3,216886519.37
281,628231.72,217514751.09
282,617000.1,218131751.19
283,700812.99,218832564.18
284,791131.52,219623695.7
285,721878.76,220345574.46
286,1182172.04,221527746.5
287,953611.77,222481358.27
288,505907.37,222987265.64
289,708725.36,223695991.0
290,906917.77,224602908.77
291,657844.31,225260753.08
292,751777.37,226012530.45
293,787036.56,226799567.01
294,661062.31,227460629.32
295,457297.81,227917927.13
296,952208.27,228870135.4
297,780463.4,229650598.8
298,742673.46,230393272.26
299,854899.7,231248171.96
300,655974.11,231904146.07
301,1201310.01,233105456.08
302,535830.03,233641286.11
303,841991.2,234483277.31
304,1044008.64,235527285.95
305,693090.14,236220376.09
306,530695.74,236751071.83
307,659159.73,237410231.56
308,651181.97,238061413.53
309,491363.53,238552777.06
310,853448.1,239406225.16
311,377188.18,239783413.34
312,453244.4,240236657.74
313,591528.69,240828186.43
314,482922.59,241311109.02
315,702592.74,242013701.76
316,676190.69,242689892.45
317,593107.79,243283000.24
318,635229.08,243918229.32
319,613468.85,244531698.17
320,761651.21,245293349.38
321,519908.0,245813257.38
322,306708.68,246119966.06
323,430238.92,246550204.98
